DeliveryDate,HourEnding,North,South,West,Houston,SystemTotal,DSTFlag    
05/06/2025,2:00,12613.905581457519554,11144.5080028442384548,8419.5678012451174912,11787.5145861328125,43965.495971679688,N
05/06/2025,3:00,12150.435605096438397,10768.0144426696776476,8501.0047183471699554,11569.09778515625,42988.552551269536,N
05/06/2025,4:00,11849.461667077632788,10531.66822392578125,8437.337908215330962,11401.514378515625,42219.98217773437,N
05/06/2025,5:00,11902.993698669427163,10537.402248779301875,8380.439232629393462,11453.9330083984375,42274.76818847656,N
05/06/2025,6:00,12644.409120202632788,10871.070943896484375,8389.160001232909087,11910.63117490234375,43815.27124023437,N
05/06/2025,7:00,13926.325462438969002,11589.568557153322048,8454.4381598022502,12493.64438310546875,46463.97656250001,N
05/06/2025,8:00,14549.116588403326857,11954.981094982906024,8473.469131066897119,12743.95149609375,47721.51831054688,N
05/06/2025,9:00,14805.365580969235895,12275.559665979004774,8922.929941528321831,13074.7673701171875,49078.62255859375,N
05/06/2025,10:00,15109.126115478523714,12750.963432690431423,9380.151441772466113,13586.82614873046875,50827.06713867189,N
05/06/2025,11:00,15328.939099426275962,13349.2321314453125,9473.646989929200288,14152.64186220703125,52304.46008300782,N
05/06/2025,12:00,15474.149967712405319,13980.892965881348524,9425.712889648441157,14633.752599609375,53514.50842285157,N
05/06/2025,13:00,15699.075954077144393,14645.903238464354601,9433.338287634274756,15133.74245634765625,54912.05993652343,N
05/06/2025,14:00,15956.065630432127248,15308.833010766599827,9518.234028918452925,15582.57277421875,56365.70544433593,N
05/06/2025,15:00,16257.326156152340067,15858.837912780760851,9609.315547473144082,15888.854123828125,57614.33374023437,N
05/06/2025,16:00,16441.782410571286924,16342.29998427734375,9674.623585034181826,16067.1573013671875,58525.86328125,N
05/06/2025,17:00,16712.333972668460962,16793.292378125,9693.124516979981538,16140.4803333984375,59339.23120117188,N
05/06/2025,18:00,16946.656100390625,17021.16017724609375,9632.59191865234375,15998.9394599609375,59599.34765625,N
05/06/2025,19:00,17086.887917028811569,16844.881958361817274,9395.359996093753657,15633.0645865234375,58960.19445800782,N
05/06/2025,20:00,16877.280956481930252,16362.774089331056423,9044.693386999515825,15217.8837693359375,57502.63220214844,N
05/06/2025,21:00,16827.119810742183817,16016.932422644042101,8745.424642590331582,15072.7123330078125,56662.18920898437,N
05/06/2025,22:00,16485.222592492675895,15559.776883703614149,8764.139324389649956,14689.91088203125,55499.04968261719,N
05/06/2025,23:00,15341.748275622557163,14551.39672998046875,8701.022360803221587,14028.6696697265625,52622.83703613281,N
05/06/2025,24:00,14140.083030346679915,13432.401429565431423,8638.239085302737412,13304.76156220703125,49515.48510742188,N
05/07/2025,1:00,13187.523233374026165,12432.142834545900173,8553.816297119143662,12725.0914875,46898.57385253907,N
05/07/2025,2:00,12343.86858280029263,11623.7771455688528298,8470.9731711425762902,12205.81542666015625,44644.434326171878,N
05/07/2025,3:00,11784.6325556701738885,11033.7694710754395399,8457.3228358520530716,11843.3793244140625,43119.104187011729,N
05/07/2025,4:00,11467.5367773681615625,10731.2476008056640625,8402.823933935546875,11613.2333626953125,42214.841674804685,N
05/07/2025,5:00,11504.5995691467320735,10667.2487847839354601,8309.4949640380847164,11604.21301748046875,42085.556335449221,N
05/07/2025,6:00,12193.120839282226924,10937.0314943359425,8312.698157885744326,11998.69113447265625,43441.54162597657,N
05/07/2025,7:00,13437.37504427489723,11610.350908728031476,8388.622471020506294,12534.156092578125,45970.50451660156,N
05/07/2025,8:00,14103.650017150877248,11937.863228295896702,8410.4324603149373,12752.27585185546875,47204.22155761718,N
05/07/2025,9:00,14537.44826851806152,12236.027855334478524,8933.907433178712456,13082.3326294921875,48789.71618652344,N
05/07/2025,10:00,14954.425903186027181,12663.625406481932726,9427.955389843746343,13546.85230927734375,50592.85900878905,N
05/07/2025,11:00,15372.11576301269804,13133.829000170900173,9534.495217480471787,14035.751059375,52076.19104003907,N
05/07/2025,12:00,15712.924890490719681,13641.572712390135851,9472.494383349605718,14469.16609482421875,53296.15808105468,N
05/07/2025,13:00,16121.359553576656453,14219.866743920900173,9426.390098986818374,14902.284970703125,54669.9013671875,N
05/07/2025,14:00,16603.265728503422127,14847.706032055665798,9518.576798229984575,15331.9280037109375,56301.47656250001,N
05/07/2025,15:00,17120.17659254149902,15419.163400354004774,9609.073738549806206,15619.5932265625,57768.00695800781,N
05/07/2025,16:00,17485.14157523193348,15951.572850817870226,9698.340075317381294,15848.568179296875,58983.62268066406,N
05/07/2025,17:00,17854.665517102055895,16446.751651232911024,9727.521853149415581,15952.8916669921875,59981.83068847657,N
05/07/2025,18:00,17981.029893017580759,16629.772546606443577,9694.506222680663164,15847.4681931640625,60152.77685546875,N
05/07/2025,19:00,17860.067405090329645,16463.822801623536024,9429.222323071290581,15453.67360302734375,59206.7861328125,N
05/07/2025,20:00,17339.856546411124951,15973.3414875,9046.344783081052549,15005.2696830078125,57364.81249999999,N
05/07/2025,21:00,17026.862751257321605,15599.953985095213976,8764.028491479490669,14839.42991865234375,56230.27514648437,N
05/07/2025,22:00,16528.57508503417946,15099.534149389646702,8821.336782275387588,14472.19436416015625,54921.64038085937,N
05/07/2025,23:00,15368.836787231443768,14097.214253015135851,8774.181279870602881,13724.7044474609375,51964.93676757812,N
05/07/2025,24:00,14035.80800504149902,12932.933745031739149,8698.842597973634331,12883.3791529296875,48550.96350097656,N
05/08/2025,1:00,13130.984865820311183,12097.167907580572274,8618.137485095215293,12173.58986845703125,46019.88012695313,N
05/08/2025,2:00,12369.051379541009308,11351.952713146968524,8545.713152526855918,11557.30277431640625,43824.02001953124,N
05/08/2025,3:00,11844.878938922117653,10793.984263739013238,8507.398417260740359,11096.03812373046875,42242.29974365234,N
05/08/2025,4:00,11488.8991701416029705,10515.9515286254931077,8461.0498740844734218,10917.0252083984375,41382.925781250007,N
05/08/2025,5:00,11431.8947083007827035,10419.9907041870118923,8364.1093290161146542,10920.24988740234375,41136.244628906253,N
05/08/2025,6:00,12014.172236755379069,10679.761554162603524,8339.818516699222407,11306.957775390625,42340.71008300783,N
05/08/2025,7:00,13144.313311340335962,11344.147892822265625,8367.471264782715913,11826.0980486328125,44682.03051757813,N
05/08/2025,8:00,13765.466023095706808,11671.615108557129774,8371.145750085449668,12121.38322568359375,45929.61010742188,N
05/08/2025,9:00,14329.859185107421875,12017.820274072260625,8909.81763798828125,12678.53244384765625,47936.02954101562,N
05/08/2025,10:00,14872.22048695068348,12515.746024255370226,9482.103946997068794,13310.0698005859375,50180.14025878906,N
05/08/2025,11:00,15316.072939855962279,13022.875461755370226,9622.997476611328745,13863.31413154296875,51825.26000976563,N
05/08/2025,12:00,15665.393405822752837,13515.0942353515625,9558.081993493653413,14368.92011142578125,53107.48974609375,N
05/08/2025,13:00,16129.477125036622163,14032.278528955078125,9517.303760266112212,14795.6305271484375,54474.68994140625,N
05/08/2025,14:00,16601.100361462400319,14620.412844543457899,9583.793417041019282,15344.7840751953125,56150.09069824219,N
05/08/2025,15:00,17145.279737036136857,15231.636285705567274,9675.852799523928369,15824.5413583984375,57877.31018066407,N
05/08/2025,16:00,17595.101641674800643,15846.569022985838976,9738.858312683102881,16409.5016623046875,59590.03063964843,N
05/08/2025,17:00,18068.227297021489964,16420.620903393556423,9789.668412670903613,16833.01305,61111.52966308595,N
05/08/2025,18:00,18229.16431741943598,16765.913835583495226,9716.083146606443794,16911.237626171875,61622.39892578125,N
05/08/2025,19:00,18135.287013452148799,16597.989613818359375,9416.664803002931826,16514.20835,60664.14978027344,N
05/08/2025,20:00,17572.796996289066317,16005.675121472167101,9031.148940637206582,15883.58878046875,58493.20983886719,N
05/08/2025,21:00,17133.056558935546875,15562.113456298828125,8778.085650390625,15501.7843734375,56975.0400390625,N
05/08/2025,22:00,16624.808260656743529,15050.178733630370226,8822.549657373047495,15056.97433466796875,55554.51098632813,N
05/08/2025,23:00,15536.503213647462482,14086.925737658692274,8837.418843811037744,14269.0123123046875,52729.86010742188,N
05/08/2025,24:00,14281.59614074706554,12970.018392456056423,8749.923967089846787,13390.96149970703125,49392.5,N
05/09/2025,1:00,13337.98465054931402,12011.159278967281024,8655.708686303712456,12608.2281947265625,46613.08081054687,N
05/09/2025,2:00,12533.355987792967567,11255.604789929198351,8592.515521398925332,11975.81435029296875,44357.29064941406,N
05/09/2025,3:00,11946.479611346439173,10688.246422149658637,8510.99893515624969,11548.4552681640625,42694.18023681641,N
05/09/2025,4:00,11596.184939910886115,10413.993274432372613,8426.174935168456272,11271.456848046875,41707.80999755859,N
05/09/2025,5:00,11543.814476409917414,10304.352913787841363,8335.058962243653723,11192.6935083984375,41375.91986083985,N
05/09/2025,6:00,12126.807553479010337,10503.899425830073125,8296.096141589356538,11449.4765421875,42376.27966308594,N
